tarih,fiyat
1/29/2010,1606.7
2/26/2010,1708.2
3/31/2010,1698.0
4/30/2010,1751.1
5/31/2010,1899.2
6/30/2010,1969.6
7/30/2010,1761.1
8/31/2010,1897.5
9/30/2010,1890.5
10/29/2010,1928.7
11/30/2010,2085.5
12/31/2010,2163.1
1/31/2011,2127.4
2/28/2011,2257.9
3/31/2011,2221.6
4/29/2011,2332.7
5/31/2011,2455.0
6/30/2011,2444.9
7/29/2011,2731.2
8/31/2011,3113.1
9/30/2011,3012.3
10/31/2011,3035.7
11/30/2011,3185.6
12/30/2011,2891.5
1/31/2012,3089.8
2/29/2012,3090.3
3/30/2012,2964.1
4/30/2012,2904.5
5/31/2012,2903.6
6/29/2012,2891.2
7/31/2012,2905.2
8/31/2012,2997.1
9/28/2012,3189.0
10/31/2012,3084.7
11/30/2012,3082.6
12/31/2012,2958.1
1/31/2013,2928.5
2/28/2013,2857.2
3/29/2013,2892.0
4/30/2013,2634.6
5/31/2013,2616.4
6/28/2013,2299.9
7/31/2013,2553.4
8/30/2013,2842.9
9/30/2013,2683.3
10/31/2013,2637.7
11/29/2013,2529.6
12/31/2013,2587.9
1/31/2014,2828.4
2/28/2014,2925.5
3/31/2014,2763.3
4/30/2014,2728.3
5/30/2014,2618.8
6/30/2014,2788.2
7/31/2014,2757.1
8/29/2014,2774.6
9/30/2014,2774.6
10/31/2014,2584.9
11/28/2014,2622.3
12/31/2014,2819.3
1/30/2015,3073.9
2/27/2015,3053.2
3/31/2015,3082.0
4/30/2015,3157.4
5/29/2015,3171.5
6/30/2015,3137.1
7/31/2015,3034.6
8/31/2015,3304.0
9/30/2015,3372.9
10/30/2015,3326.1
11/30/2015,3086.4
12/31/2015,3094.0
1/29/2016,3290.7
2/29/2016,3648.9
3/31/2016,3483.0
4/29/2016,3592.5
5/31/2016,3577.7
6/30/2016,3798.0
7/29/2016,4012.8
8/31/2016,3874.2
9/30/2016,3968.4
10/31/2016,3938.8
11/30/2016,4039.5
12/30/2016,4030.8
1/31/2017,4578.7
2/28/2017,4554.8
3/31/2017,4533.3
4/28/2017,4500.7
5/31/2017,4477.9
6/30/2017,4375.9
7/31/2017,4466.4
8/31/2017,4528.9
9/29/2017,4562.8
10/31/2017,4822.2
11/30/2017,5000.5
12/29/2017,4895.0
1/31/2018,5045.8
2/28/2018,5016.3
3/30/2018,5244.3
4/30/2018,5338.5
5/31/2018,5923.0
6/29/2018,5728.6
7/31/2018,5993.6
8/31/2018,7962.9
9/28/2018,7132.2
10/31/2018,6807.7
11/30/2018,6391.3
12/31/2018,6804.2
1/31/2019,6849.0
2/28/2019,7036.4
3/29/2019,7318.5
4/30/2019,7654.7
5/31/2019,7560.4
6/28/2019,8149.7
7/31/2019,7939.7
8/30/2019,8904.8
9/30/2019,8386.7
10/31/2019,8631.4
11/29/2019,8386.4
12/31/2019,9014.3
1/31/2020,9481.4
2/28/2020,10060.4
3/31/2020,10603.4
4/30/2020,11901.4
5/29/2020,11792.3
6/30/2020,12119.9
7/31/2020,13714.0
8/31/2020,14404.1
9/30/2020,14537.0
10/30/2020,15775.6
11/30/2020,13787.1
12/31/2020,14029.6
1/29/2021,13602.9
2/26/2021,12928.5
3/31/2021,13995.6
4/30/2021,14657.4
5/31/2021,16105.4
6/30/2021,15317.4
7/30/2021,15376.5
