tarih,fiyat
2/29/2016,3648.9
3/31/2016,3483.0
4/29/2016,3592.5
5/31/2016,3577.7
6/30/2016,3798.0
7/29/2016,4012.8
8/31/2016,3874.2
9/30/2016,3968.4
10/31/2016,3938.8
11/30/2016,4039.5
12/30/2016,4030.8
1/31/2017,4578.7
2/28/2017,4554.8
3/31/2017,4533.3
4/28/2017,4500.7
5/31/2017,4477.9
6/30/2017,4375.9
7/31/2017,4466.4
8/31/2017,4528.9
9/29/2017,4562.8
10/31/2017,4822.2
11/30/2017,5000.5
12/29/2017,4895.0
1/31/2018,5045.8
2/28/2018,5016.3
3/30/2018,5244.3
4/30/2018,5338.5
5/31/2018,5923.0
6/29/2018,5728.6
7/31/2018,5993.6
8/31/2018,7962.9
9/28/2018,7132.2
10/31/2018,6807.7
11/30/2018,6391.3
12/31/2018,6804.2
1/31/2019,6849.0
2/28/2019,7036.4
3/29/2019,7318.5
4/30/2019,7654.7
5/31/2019,7560.4
6/28/2019,8149.7
7/31/2019,7939.7
8/30/2019,8904.8
9/30/2019,8386.7
10/31/2019,8631.4
11/29/2019,8386.4
12/31/2019,9014.3
1/31/2020,9481.4
2/28/2020,10060.4
3/31/2020,10603.4
4/30/2020,11901.4
5/29/2020,11792.3
6/30/2020,12119.9
7/31/2020,13714.0
8/31/2020,14404.1
9/30/2020,14537.0
10/30/2020,15775.6
11/30/2020,13787.1
12/31/2020,14029.6
1/29/2021,13602.9
2/26/2021,12928.5
3/31/2021,13995.6
4/30/2021,14657.4
5/31/2021,16105.4
6/30/2021,15317.4
7/30/2021,15376.5
